batch_size,d_model,num_heads,num_layers,clustering_method,clustering_metric,clustering_param,compression_ratio,ml_time,compression_time,Total_MRT_time,Total_OSTC_time,querying_time,total_time,accuracy_individual_results,score
128,128,2,4,AGGLOMERATIVE,euclidean,12.5,1.3086708006329908,220957757234,56571056068,43237.0,1267.10400390625,1377588220000,1769934443631,"[('Where', 0.9985820782920232), ('Distance', 0.8663136109424491), ('When', 0.9995138503765314), ('How Long', 0.9999740781580774), ('Count', 0.9309400901784236), ('KNN', 0.9998445092322643), ('Window', 0.999546485260771)]",0.9706735289200772
128,128,2,4,AGGLOMERATIVE,euclidean,15,1.3105057298834917,213580320312,55097458488,41509.0,1259.656982421875,1329915111083,1704747676243,"[('Where', 0.9982731602581453), ('Distance', 0.8660125426972388), ('When', 0.9996489159951393), ('How Long', 0.999980391772595), ('Count', 0.9987979504223792), ('KNN', 1.0), ('Window', 0.9998056365403304)]",0.9803597996694039
128,128,4,2,AGGLOMERATIVE,euclidean,5,1.375592068565198,254705817108,68536308971,60130.0,668.5659790039062,714400849911,1095886117975,"[('Where', 0.949495739191816), ('Distance', 0.8652294157025355), ('When', 0.9856347317071613), ('How Long', 0.999773238842084), ('Count', 0.543273407846102), ('KNN', 0.9906575963718821), ('Window', 0.9694201490119858)]",0.9004977540962239
128,128,4,2,AGGLOMERATIVE,euclidean,7.5,1.3298196642444782,212327344215,56399891360,45407.0,921.655029296875,1135017929695,1498577148571,"[('Where', 0.9808787554026078), ('Distance', 0.8659600970551279), ('When', 0.9944305096050595), ('How Long', 0.9998833753533706), ('Count', 0.8827059124202402), ('KNN', 0.9973048266925818), ('Window', 0.9886038224813735)]",0.9585381855729087
128,128,4,2,AGGLOMERATIVE,euclidean,10,1.3113455002478227,205326213935,58395258705,46994.0,1039.5679931640625,1314859451655,1674271189603,"[('Where', 0.9932708871030136), ('Distance', 0.8649587819825014), ('When', 0.9977474642157327), ('How Long', 0.9999675990306408), ('Count', 0.9197118399694059), ('KNN', 0.9990411402656301), ('Window', 0.996333009394234)]",0.9672901031373083
128,128,4,2,AGGLOMERATIVE,euclidean,12.5,1.3075971415227254,201621116347,60616937656,48077.0,1072.72998046875,1305187754783,1667571804272,"[('Where', 0.9976491312494561), ('Distance', 0.8663918341755643), ('When', 0.9993982951258157), ('How Long', 0.9999740779653138), ('Count', 0.9914610833787789), ('KNN', 0.9996890184645287), ('Window', 0.9989439585357952)]",0.9790724855564646
128,128,4,2,AGGLOMERATIVE,euclidean,15,1.3095563697405548,192561451527,57192105578,44322.0,1379.3890380859375,1329919524274,1685431959444,"[('Where', 0.9987414502616081), ('Distance', 0.8646683001596409), ('When', 0.9995277102930853), ('How Long', 0.99998055672269), ('Count', 0.9987113296064793), ('KNN', 1.0), ('Window', 0.9994622610949141)]",0.980155944019774
128,128,4,4,AGGLOMERATIVE,euclidean,5,1.3507701413375373,226664450086,55696001169,46371.0,824.27001953125,929096205660,1288058546278,"[('Where', 0.9685937621396479), ('Distance', 0.8665988352483536), ('When', 0.9907273993419844), ('How Long', 0.9998315467262401), ('Count', 0.6926178915676575), ('KNN', 0.9951668286362164), ('Window', 0.9806025267249757)]",0.9277341129121537
128,128,4,4,AGGLOMERATIVE,euclidean,7.5,1.3162842457112682,238188614255,57632461466,45755.0,1065.1429443359375,1214650193656,1611406241974,"[('Where', 0.990060900899334), ('Distance', 0.8666339053948041), ('When', 0.9969125726862985), ('How Long', 0.9999546419243158), ('Count', 0.9364934818021965), ('KNN', 0.9986394557823128), ('Window', 0.9939099449303531)]",0.9689435576313735
128,128,4,4,AGGLOMERATIVE,euclidean,10,1.3068737397526342,237342365361,54394542685,40904.0,1235.9730224609375,1353868354445,1757982483754,"[('Where', 0.9971392302680397), ('Distance', 0.8666590609517645), ('When', 0.9990136964728986), ('How Long', 0.9999870353090695), ('Count', 0.9746211272707442), ('KNN', 0.999559442824749), ('Window', 0.9984321347586654)]",0.9764873896937045
